表章項目 コード,表章項目 補助コード,表章項目,時間軸（月次） コード,時間軸（月次） 補助コード,year,都道府県 コード,都道府県 補助コード,prefecture,/国籍,total,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,ジョージア（グルジア）,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
101,,人数【人】,2017000606,,2017年6月,0,,全国,,"2,471,458","2,050,909","2,873",78,"20,346",31,180,"13,033",63,"9,598","20,716","711,486","54,358",39,34,"30,048","46,350","3,988",115,566,160,"452,953","31,674",***,28,"2,730",113,"9,394","8,364",27,52,"74,300","14,312","251,934",25,791,569,"2,763","48,952","5,167","232,562",71,66,"73,151",77,582,829,456,314,159,397,514,331,790,"12,273","6,755",293,604,62,"1,084","4,019",401,329,9,35,214,428,1,19,155,39,"1,279",399,"1,459",594,"2,410","8,500",3,"2,852","1,773","1,077",39,131,"16,498","1,858","2,269",***,43,96,2,54,106,266,36,5,12,211,10,"15,143",205,20,43,555,14,2,17,387,6,1,82,11,439,1,42,26,"2,235",389,65,8,140,762,30,57,11,102,174,18,524,99,68,136,21,"2,845",17,97,590,53,13,232,9,1,4,444,32,505,560,834,"1,800",75,117,156,36,33,"69,875",29,19,9,"10,085",158,236,521,12,132,133,36,193,723,"2,393",94,57,6,5,5,101,"54,918",3,7,"247,938","2,710","5,657","185,967",652,"2,366",214,10,"2,011","47,861",5,107,378,"13,854","9,981",249,14,12,40,"3,217",2,54,36,41,129,2,8,69,588
101,,人数【人】,2017000606,,2017年6月,1000,,北海道,,"29,750","24,924",59,-,266,-,4,146,1,131,88,"9,513","1,061",1,-,246,393,22,-,7,3,"4,280",663,***,1,9,-,201,223,1,2,686,221,"1,676",-,9,6,48,569,21,"4,366",-,1,"1,920",-,16,22,13,6,7,9,19,2,36,202,123,6,17,2,56,50,9,11,-,2,2,12,-,1,-,-,16,8,74,11,24,516,-,36,29,34,-,1,485,22,16,***,1,5,-,1,3,12,3,-,-,-,-,338,1,-,-,4,-,-,-,-,1,-,3,-,13,-,5,1,9,7,2,-,8,12,-,-,-,18,1,-,7,12,3,3,-,35,-,1,15,-,-,-,-,-,-,4,1,7,14,26,87,6,28,2,1,1,"1,570",-,-,-,301,5,9,2,-,2,3,-,4,19,34,2,1,-,-,-,1,"1,187",-,-,249,9,7,156,10,18,4,-,8,31,-,2,4,739,575,5,-,-,-,142,-,4,-,4,2,-,3,4,10
101,,人数【人】,2017000606,,2017年6月,2000,,青森県,,"4,912","4,264",7,-,19,-,-,6,-,76,2,"1,202",64,-,-,30,116,2,-,-,-,762,79,***,-,4,-,65,8,-,-,117,65,579,-,-,-,4,102,2,953,-,-,129,-,-,-,-,-,-,-,1,-,-,19,10,-,3,-,3,4,-,-,-,-,-,-,-,-,-,-,1,-,2,-,20,19,-,13,1,-,-,-,31,1,-,***,-,-,-,-,-,1,-,-,-,-,-,23,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,3,-,-,-,1,-,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,3,5,-,-,-,-,-,422,-,-,-,36,-,-,-,-,1,-,-,-,5,6,-,-,-,-,-,-,374,-,-,39,2,1,28,-,3,-,-,-,5,-,-,-,34,21,-,-,-,-,12,-,-,-,1,-,-,-,-,1
101,,人数【人】,2017000606,,2017年6月,3000,,岩手県,,"6,460","6,016",7,-,91,-,2,16,-,19,7,"2,061",73,-,-,33,185,1,-,-,-,802,98,***,-,5,-,14,47,-,-,81,43,"1,211",-,-,1,8,70,-,"1,141",-,-,122,-,1,1,-,-,-,-,1,-,1,11,16,-,-,1,-,5,2,-,-,-,-,-,-,-,-,-,1,-,3,-,6,15,-,5,2,3,-,-,42,4,-,***,-,-,-,-,-,1,-,-,-,1,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,1,-,-,1,-,-,-,-,3,2,-,1,-,-,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,218,-,-,-,34,-,1,-,-,1,-,-,1,2,6,-,1,-,-,-,-,172,-,-,51,2,-,36,1,3,1,-,4,4,-,-,-,34,25,-,-,-,-,7,-,-,-,-,2,-,-,-,-
101,,人数【人】,2017000606,,2017年6月,4000,,宮城県,,"19,417","17,134",21,-,158,-,8,166,-,38,132,"5,868",326,1,-,164,696,33,-,3,2,"3,341",298,***,3,3,1,126,104,-,3,"1,224",230,"1,266",-,1,9,25,287,45,"2,548",3,1,666,1,7,5,1,5,2,11,3,3,15,109,69,3,6,1,8,29,3,1,-,-,3,3,-,-,-,-,13,1,10,5,16,112,-,34,38,8,-,-,113,14,4,***,2,-,-,-,-,6,1,-,-,1,-,191,5,-,5,11,-,-,1,7,-,-,2,-,4,-,4,-,23,1,-,-,1,15,-,-,-,3,1,-,6,1,-,3,-,16,-,1,8,2,-,1,-,-,-,3,-,4,8,21,30,2,1,-,1,-,915,-,1,-,124,3,9,2,-,6,5,1,3,18,31,2,1,-,-,-,1,708,-,-,362,6,10,256,14,8,2,-,4,50,-,1,11,137,97,7,1,-,-,30,-,-,-,-,1,-,-,1,12
101,,人数【人】,2017000606,,2017年6月,5000,,秋田県,,"3,812","3,267",4,2,5,-,-,5,2,41,2,"1,113",51,-,-,20,62,6,-,1,-,546,64,***,-,2,-,50,35,-,-,87,19,759,-,-,-,3,69,1,318,-,-,177,-,-,-,1,-,1,1,4,-,8,23,11,1,1,-,5,6,-,1,-,-,1,2,-,-,-,-,10,5,3,1,7,29,-,5,2,2,-,-,38,4,1,***,-,-,-,-,-,3,-,-,-,1,-,31,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,3,-,-,-,1,-,-,-,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,3,1,-,-,265,1,-,-,27,-,-,-,-,-,1,-,1,1,6,-,-,-,-,-,1,227,-,-,13,1,-,5,1,1,-,-,-,4,-,1,-,58,24,8,-,-,-,19,-,4,-,-,3,-,-,-,1
101,,人数【人】,2017000606,,2017年6月,6000,,山形県,,"6,628","6,141",1,-,37,-,-,24,3,42,4,"2,221",122,-,-,26,125,5,1,3,-,"1,592",39,***,-,3,-,38,21,-,-,55,44,773,-,1,1,2,140,5,810,-,3,132,-,1,1,1,-,-,-,2,1,-,6,12,2,8,-,12,6,-,-,-,-,3,-,-,-,-,-,1,-,-,-,7,10,-,-,-,-,-,1,55,1,-,***,-,-,-,-,-,2,-,-,-,-,-,34,-,-,-,1,-,-,-,-,-,-,3,-,1,-,-,-,2,-,-,-,-,9,-,-,-,-,-,-,-,-,-,1,-,5,-,4,-,-,-,-,-,-,-,2,-,-,2,2,1,-,1,-,-,-,187,-,-,-,33,-,1,-,-,-,-,-,1,3,-,-,-,-,-,-,-,149,-,-,97,-,11,69,1,-,1,-,3,11,-,-,1,36,21,-,-,-,-,14,-,-,-,-,-,-,-,1,1
101,,人数【人】,2017000606,,2017年6月,7000,,福島県,,"12,518","11,434",24,-,232,-,-,47,1,52,49,"3,596",123,-,-,94,272,8,-,1,-,"1,462",236,***,-,9,-,34,50,-,-,502,112,"2,522",-,2,4,8,333,5,"1,656",-,-,257,-,2,-,2,1,-,1,1,1,1,15,17,-,2,-,5,5,1,-,-,-,-,-,-,-,-,-,6,1,6,2,7,39,-,22,-,3,-,-,87,21,7,***,-,-,-,-,-,1,1,-,-,-,-,52,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,18,-,-,3,-,-,1,-,-,-,3,-,4,1,4,7,-,-,1,-,-,394,2,-,-,82,1,-,3,-,1,-,-,-,12,10,-,-,-,-,-,2,281,-,-,285,6,3,221,1,5,2,-,9,34,-,-,4,94,59,9,-,-,-,25,-,-,-,-,1,-,-,-,2
101,,人数【人】,2017000606,,2017年6月,8000,,茨城県,,"60,163","49,267",221,-,340,1,3,543,2,637,"1,948","12,425","1,332",2,1,"1,016","3,285",219,26,8,1,"4,341",330,***,1,287,6,220,208,-,1,"1,215","1,275","9,598",-,7,7,38,"4,635",35,"5,051",1,1,"1,324",-,7,10,10,16,5,11,6,3,11,148,88,15,17,-,20,43,31,31,-,-,2,9,-,1,5,-,26,7,35,5,35,218,-,39,9,13,4,33,217,50,92,***,2,7,-,8,14,9,2,-,-,10,-,551,8,1,-,28,-,-,1,13,-,-,1,-,14,-,2,2,50,15,1,-,2,32,3,9,1,2,4,-,19,9,-,7,2,91,-,4,8,2,-,15,-,-,-,7,-,30,36,12,91,4,13,6,1,5,"1,047",-,-,-,160,3,3,13,-,3,6,-,5,21,52,6,-,-,-,-,1,770,-,4,"7,771",52,104,"5,847",17,73,2,-,18,"1,644",-,1,13,186,119,18,-,-,1,34,-,3,4,3,2,-,1,1,17
101,,人数【人】,2017000606,,2017年6月,9000,,栃木県,,"38,618","28,967",57,-,310,-,-,431,-,181,"1,154","6,695","1,012",-,1,816,872,138,2,5,1,"2,412",217,***,-,21,1,153,134,-,-,"2,441",760,"5,088",-,13,3,16,"1,855",37,"4,141",-,-,445,1,7,2,-,1,-,1,4,5,3,50,31,-,3,-,13,12,4,2,-,-,-,5,-,-,1,-,8,1,9,3,39,63,-,7,8,5,1,-,131,8,14,***,1,-,-,-,-,1,-,-,-,1,-,212,1,-,1,20,-,-,-,20,-,-,1,-,3,-,-,1,23,18,1,-,2,12,1,-,-,4,2,-,7,-,-,7,-,38,-,1,7,1,-,-,-,-,-,2,1,2,7,11,10,2,2,4,-,-,659,-,-,-,78,5,2,16,-,1,3,1,4,8,30,-,-,-,-,-,3,508,-,-,"8,237",125,350,"4,356",6,41,-,-,97,"3,249",-,-,13,90,55,4,-,-,-,26,-,-,1,-,1,-,1,2,8
