prefecture_core,prefecture_chr,year,total_population,total_populationMale,total_populationFemale,total_foreigners,total_foreignersMale,total_foreignersFemale,number_foreigners,number_in-migrants,number_in-migrantsMale,number_in-migrantsFemale,number_out-migrants,number_out-migrantsMale,number_out-migrantsFemale
0,All Japan,2023,124352000,60492000,63859000,NA,NA,NA,3410992,2544639,1416826,1127813,2544639,1416826,1127813
0,All Japan,2022,124947000,60758000,64189000,NA,NA,NA,3075213,2553434,1418134,1135300,2553434,1418134,1135300
0,All Japan,2021,125502000,61019000,64483000,NA,NA,NA,2760635,2476640,1378640,1098000,2476640,1378640,1098000
0,All Japan,2020,126146099,61349581,64796518,2402460,NA,NA,2887116,2463992,1378115,1085877,2463992,1378115,1085877
0,All Japan,2019,126555000,61588000,64967000,NA,NA,NA,2933137,2568086,1426916,1141170,2568086,1426916,1141170
0,All Japan,2018,126749000,61673000,65076000,NA,NA,NA,2731093,2535601,1408573,1127028,2535601,1408573,1127028
0,All Japan,2017,126919000,61753000,65165000,NA,NA,NA,2561848,2505064,1392973,1112091,2505064,1392973,1112091
0,All Japan,2016,127042000,61816000,65226000,NA,NA,NA,2382822,2460346,1371108,1089238,2460346,1371108,1089238
0,All Japan,2015,127094745,61841738,65253007,1752368,NA,NA,2232189,2502780,1397389,1105391,2502780,1397389,1105391
0,All Japan,2014,127237000,61901000,65336000,NA,NA,NA,2121831,2405223,1337994,1067229,2405223,1337994,1067229
0,All Japan,2013,127414000,61985000,65429000,NA,NA,NA,2066445,NA,NA,NA,NA,NA,NA
0,All Japan,2012,127593000,62080000,65513000,NA,NA,NA,2033656,NA,NA,NA,NA,NA,NA
0,All Japan,2011,127834000,62207000,65627000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2010,128057352,62327737,65729615,1648037,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2009,128032000,62358000,65674000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2008,128084000,62422000,65662000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2007,128033000,62424000,65608000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2006,127901000,62387000,65514000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2005,127767994,62348977,65419017,1555505,726644,828861,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2004,127787000,62380000,65407000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2003,127694000,62368000,65326000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2002,127486000,62295000,65190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2001,127316000,62265000,65051000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,2000,126925843,62110764,64815079,1310545,621046,689499,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1999,126667000,62017000,64650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1998,126472000,61952000,64520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1997,126157000,61827000,64329000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1996,125859000,61698000,64161000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1995,125570246,61574398,63995848,1140326,566739,573587,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1994,125265000,61446000,63819000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1993,124938000,61317000,63621000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1992,124567000,61155000,63413000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1991,124101000,60934000,63167000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1990,123611167,60696724,62914443,886397,445417,440980,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1989,123205000,60515000,62690000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1988,122745000,60302000,62443000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1987,122239000,60058000,62181000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1986,121660000,59788000,61871000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1985,121048923,59497316,61551607,720093,364117,355976,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1984,120305000,59150000,61155000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1983,119536000,58786000,60750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1982,118728000,58400000,60329000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1981,117902000,58001000,59901000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1980,117060396,57593769,59466627,668675,343759,324916,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1979,116155000,57151000,59004000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1978,115190000,56682000,58508000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1977,114165000,56184000,57981000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1976,113094000,55658000,57436000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,All Japan,1975,111939643,55090673,56848970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,Hokkaido,2023,5092000,2405000,2688000,NA,NA,NA,56485,53382,31540,21842,58620,32847,25773
